"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6862","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189571","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","124495"
"6863","Delhi","Development of public parks","WS/MP18399/2025-2026/187240","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","21-May-2026","Swing Craft","Payment Success","730139"
"6864","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189809","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6865","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/194995","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","186225"
"6866","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189807","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6867","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189801","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6868","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189570","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","792490"
"6869","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189575","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","124495"
"6870","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189844","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6871","Delhi","Development of public parks","WS/MP18399/2025-2026/157764","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","21-May-2026","Swing Craft","Payment Success","431860"
"6872","Delhi","Development of public parks","WS/MP18399/2025-2026/187234","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","19-Jun-2026","Swing Craft","Payment Success","124495"
"6873","Delhi","Fitting of Sitting RCC Benches in Public Places","WS/MP18397/2025-2026/197934","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","14-May-2026","Manju Enterprises","Payment Success","96000"
"6874","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","vishwakarma Surting Store","Payment Success","16000"
"6875","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","jaswanth singh","Payment Success","15756"
"6876","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","HARMAN  ENTERPRISES","Payment Success","12980"
"6877","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","NIMRAT INTERLOCK TAILES","Payment Success","18550"
