"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"53415","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196356","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","27-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","62187"
"53416","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196357","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","27-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","62187"
"53417","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196349","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","27-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","62187"
"53418","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196350","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","27-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","62187"
"53419","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196351","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","27-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","62187"
"53420","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196348","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","27-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","62187"
"53421","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196348","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53422","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196356","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53423","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196357","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53424","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196349","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53425","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196354","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53426","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196355","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53427","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196350","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53428","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196351","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53429","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196372","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53430","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196373","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53431","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196364","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53432","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196365","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53433","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196366","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53434","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196352","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53435","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196353","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53436","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196367","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53437","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196368","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53438","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196369","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53439","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196370","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53440","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2025-2026/196371","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","10-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","186562"
"53441","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167129","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-Jun-2025","NATIONAL ENGINEERING WORKS","Payment Success","600000"
"53442","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167131","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-Jun-2025","NATIONAL ENGINEERING WORKS","Payment Success","600000"
"53443","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167133","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-Jun-2025","NATIONAL ENGINEERING WORKS","Payment Success","600000"
"53444","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167134","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-Jun-2025","NATIONAL ENGINEERING WORKS","Payment Success","600000"
"53445","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167132","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-Jun-2025","NATIONAL ENGINEERING WORKS","Payment Success","600000"
"53446","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167130","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","13-Jun-2025","NATIONAL ENGINEERING WORKS","Payment Success","600000"
"53447","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167129","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Nov-2025","NATIONAL ENGINEERING WORKS","Payment Success","498200"
"53448","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167130","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Nov-2025","NATIONAL ENGINEERING WORKS","Payment Success","498200"
"53449","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167131","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Nov-2025","NATIONAL ENGINEERING WORKS","Payment Success","498200"
"53450","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167132","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Nov-2025","NATIONAL ENGINEERING WORKS","Payment Success","498200"
"53451","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167134","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Nov-2025","NATIONAL ENGINEERING WORKS","Payment Success","498200"
"53452","Madhya Pradesh","Purchase of hearse van (Four, three and two wheelers)","WS/MP360/2025-2026/167133","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Nov-2025","NATIONAL ENGINEERING WORKS","Payment Success","498200"
"53453","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186248","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53454","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186245","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53455","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186246","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53456","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186249","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53457","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186250","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53458","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186251","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53459","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186252","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53460","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186244","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53461","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186243","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53462","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186242","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53463","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186254","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53464","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186257","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53465","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186255","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53466","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186256","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53467","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186247","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53468","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186253","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53469","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186258","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53470","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186259","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53471","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186260","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53472","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186261","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","23-Sep-2025","NATIONAL ENGINEERING WORKS","Payment Success","187500"
"53473","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186247","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53474","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186249","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53475","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186248","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53476","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186242","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","16-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53477","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186243","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","16-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53478","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186244","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","16-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53479","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186245","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","16-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53480","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186246","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","16-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53481","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186261","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53482","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186250","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53483","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186252","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53484","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186251","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53485","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186255","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53486","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186256","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53487","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186257","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53488","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186253","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53489","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186259","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53490","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186260","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53491","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186254","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53492","Uttar Pradesh","Purchase of mobile water tankers","WS/MP468/2024-2025/186258","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","17-Jan-2026","NATIONAL ENGINEERING WORKS","Payment Success","61600"
"53493","Madhya Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP360/2025-2026/206801","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-Oct-2025","NATIONAL ENGINEERING WORKS","Payment Success","2000000"
"53494","Madhya Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP360/2025-2026/206801","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","25-May-2026","NATIONAL ENGINEERING WORKS","Payment Success","1779650"
"53495","Madhya Pradesh","Construction of culverts and bridges","WS/MP18106/2024-2025/142099","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","06-Jun-2025","GP IKLOD","Payment Success","400000"
"53496","Madhya Pradesh","Construction of culverts and bridges","WS/MP18106/2024-2025/142099","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","01-Jan-2025","GP IKLOD","Payment Success","400000"
"53497","Madhya Pradesh","Construction of culverts and bridges","WS/MP18106/2024-2025/142103","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","06-Jun-2025","GP LADPURA","Payment Success","400000"
"53498","Madhya Pradesh","Construction of culverts and bridges","WS/MP18106/2024-2025/142103","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","01-Jan-2025","GP LADPURA","Payment Success","400000"
"53499","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/161423","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","16-Jul-2026","Gram Panchayat Mahgod","Payment Success","125000"
"53500","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/161422","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","16-Jul-2026","Gram Panchayat Mahgod","Payment Success","125000"
"53501","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/161422","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","03-Jan-2025","Gram Panchayat Mahgod","Payment Success","375000"
"53502","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/161423","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","03-Jan-2025","Gram Panchayat Mahgod","Payment Success","375000"
"53503","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/239187","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","24-Feb-2026","NOVA SPORTS AND FITNESS","Payment Success","200000"
"53504","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/183804","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","24-Nov-2025","NOVA SPORTS AND FITNESS","Payment Success","774877"
"53505","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18092/2025-2026/196142","RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA)","G. KUMAR NAIK","RAICHUR(ST)","17-Sep-2025","Mallikarjuna","Payment Success","375000"
"53506","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18092/2025-2026/196142","RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA)","G. KUMAR NAIK","RAICHUR(ST)","29-Nov-2025","Mallikarjuna","Payment Success","124361"
"53507","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18161/2024-2025/140182","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","28-Dec-2024","Gulab singh","Payment Success","3990"
"53508","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18161/2024-2025/140182","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","28-Dec-2024","Kusma devi","Payment Success","3990"
"53509","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18161/2024-2025/140182","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","28-Dec-2024","Uday Singh","Payment Success","3990"
"53510","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18106/2024-2025/142119","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","06-Jun-2025","gp parwati baroda","Payment Success","400000"
"53511","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18106/2024-2025/142119","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","01-Jan-2025","gp parwati baroda","Payment Success","400000"
"53512","Madhya Pradesh","Construction of culverts and bridges","WS/MP18106/2024-2025/142107","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","01-Jan-2025","GP RNAWAD","Payment Success","400000"
"53513","Madhya Pradesh","Construction of culverts and bridges","WS/MP18106/2024-2025/142107","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","20-Mar-2026","GP RNAWAD","Payment Success","400000"
"53514","Rajasthan","Construction of community centers and community halls","WS/MP18161/2024-2025/138079","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","13-Jan-2025","jagwati","Payment Success","3990"
"53515","Rajasthan","Construction of community centers and community halls","WS/MP18161/2024-2025/138079","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","13-Jan-2025","sushama","Payment Success","3990"
"53516","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18051/2024-2025/155953","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","09-Jan-2025","GRAM PANCHAYAT GANIYARI","Payment Success","100000"
"53517","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18051/2024-2025/155953","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","06-Aug-2025","GRAM PANCHAYAT GANIYARI","Payment Success","150000"
"53518","Odisha","Construction of community centers and community halls","WS/MP453/2025-2026/261435","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","23-Apr-2026","SUKANTA KISHORE BARIK","Payment Success","260000"
"53519","Punjab","Purchase of mobile water tankers","WS/MP18311/2025-2026/234527","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Jan-2026","National Agro Repair Works","Payment Success","300000"
"53520","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18106/2024-2025/142118","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","01-Jan-2025","GP LAKSHMANPURA","Payment Success","400000"
