Work ID (Completed),Work ID (Recommended),Work Description,Category,MP Name,State,Constituency,IDA,House,Recommended Amount (₹),Final Settled Amount (₹),Cost Escalation Delta (₹),Cost Escalation Ratio,Cost Escalation (%),Recommendation Date,Completed Date,Execution Duration (Days),Has Images (Completed),Has Images (Recommended),Average Rating
161392,212716,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,BEMETARA(Collector Bemetara_IDA),Lok Sabha,520000,500000,-20000,0.9615,-3.85,2025-06-26T00:00:00.000Z,2025-09-11T00:00:00.000Z,77,TRUE,FALSE,
161395,215565,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,BEMETARA(Collector Bemetara_IDA),Lok Sabha,500000,500000,0,1,0,2025-07-08T00:00:00.000Z,2025-09-11T00:00:00.000Z,65,TRUE,FALSE,
210325,215566,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,350000,1000000,650000,2.8571,185.71,2025-07-08T00:00:00.000Z,2025-10-13T00:00:00.000Z,97,TRUE,FALSE,
161391,215811,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,BEMETARA(Collector Bemetara_IDA),Lok Sabha,1000000,998442,-1558,0.9984,-0.16,2025-07-08T00:00:00.000Z,2025-11-14T00:00:00.000Z,129,TRUE,FALSE,
161394,215817,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,BEMETARA(Collector Bemetara_IDA),Lok Sabha,540000,1000000,460000,1.8519,85.19,2025-07-08T00:00:00.000Z,2025-11-18T00:00:00.000Z,133,TRUE,FALSE,
183913,217894,CC Road Nirman,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,540000,1000000,460000,1.8519,85.19,2025-07-15T00:00:00.000Z,2026-01-29T00:00:00.000Z,198,TRUE,FALSE,
183914,218345,CC Road nirman,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,600000,1200000,600000,2,100,2025-07-15T00:00:00.000Z,2026-01-29T00:00:00.000Z,198,TRUE,FALSE,
215562,247416,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,730000,700000,-30000,0.9589,-4.11,2025-11-11T00:00:00.000Z,2026-01-29T00:00:00.000Z,79,TRUE,FALSE,
215553,247417,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,540000,1000000,460000,1.8519,85.19,2025-11-11T00:00:00.000Z,2026-02-12T00:00:00.000Z,93,TRUE,FALSE,
209236,247418,CC Road Nirman,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,BEMETARA(Collector Bemetara_IDA),Lok Sabha,540000,500000,-40000,0.9259,-7.41,2025-11-11T00:00:00.000Z,2026-04-11T00:00:00.000Z,151,TRUE,FALSE,
217893,247419,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,BEMETARA(Collector Bemetara_IDA),Lok Sabha,540000,539875,-125,0.9998,-0.02,2025-11-11T00:00:00.000Z,2026-05-04T00:00:00.000Z,174,TRUE,FALSE,
215567,247420,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,730000,249918,-480082,0.3424,-65.76,2025-11-11T00:00:00.000Z,2026-05-14T00:00:00.000Z,184,TRUE,FALSE,
215568,259271,CC ROAD NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,700000,250000,-450000,0.3571,-64.29,2026-01-15T00:00:00.000Z,2026-05-14T00:00:00.000Z,119,TRUE,FALSE,
215814,215812,DHOME SHEDH NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,1000000,798546,-201454,0.7985,-20.15,2025-07-08T00:00:00.000Z,2026-01-14T00:00:00.000Z,190,TRUE,FALSE,
215555,215558,KICHAN SHEDH NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,300000,300000,0,1,0,2025-07-08T00:00:00.000Z,2026-02-12T00:00:00.000Z,219,TRUE,FALSE,
217890,295304,SHED NIRMAN,Normal/Others,Vijay Baghel,Chhattisgarh,DURG,DURG(DISTRICT COLLECTOR DURG_IDA),Lok Sabha,700000,299892,-400108,0.4284,-57.16,2026-07-28T00:00:00.000Z,2026-01-19T00:00:00.000Z,-190,TRUE,FALSE,
151616,219103,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,1000000,958500,-41500,0.9585,-4.15,2025-07-16T00:00:00.000Z,2025-07-07T00:00:00.000Z,-9,TRUE,FALSE,
151617,283350,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,962500,958500,-4000,0.9958,-0.42,2026-05-23T00:00:00.000Z,2025-07-07T00:00:00.000Z,-320,TRUE,FALSE,
151618,283351,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,962500,958500,-4000,0.9958,-0.42,2026-05-23T00:00:00.000Z,2025-07-07T00:00:00.000Z,-320,TRUE,FALSE,
151619,283352,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,962500,958500,-4000,0.9958,-0.42,2026-05-23T00:00:00.000Z,2025-07-07T00:00:00.000Z,-320,TRUE,FALSE,
151620,283353,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,962500,958500,-4000,0.9958,-0.42,2026-05-23T00:00:00.000Z,2025-07-07T00:00:00.000Z,-320,TRUE,FALSE,
151621,283354,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,962500,958500,-4000,0.9958,-0.42,2026-05-23T00:00:00.000Z,2025-07-08T00:00:00.000Z,-319,TRUE,FALSE,
151622,283355,High Mask Light,Normal/Others,VIJAYLAKSHMI DEVI,Bihar,SIWAN,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),Lok Sabha,962500,958500,-4000,0.9958,-0.42,2026-05-23T00:00:00.000Z,2025-07-08T00:00:00.000Z,-319,TRUE,FALSE,
