work_id,work_description,category,mp_name,constituency,ida,recommended_amount,final_amount,recommendation_date,completed_date,has_images,state,house,work_id_completed,work_id_recommended,has_images_recommended
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2000000.0,493449.0,2025-08-29T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,229978,False
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1000000.0,493449.0,2026-07-03T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,291619,False
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),150000.0,493449.0,2026-07-03T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,291622,False
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1000000.0,493449.0,2026-07-06T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,2112,False
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2500000.0,493449.0,2026-07-06T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,292456,False
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1500000.0,493449.0,2026-07-06T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,292470,False
133667,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1195000.0,493449.0,2026-07-27T00:00:00.000Z,2024-10-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133667,299048,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2000000.0,978265.0,2025-08-29T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,229978,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1000000.0,978265.0,2026-07-03T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,291619,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),150000.0,978265.0,2026-07-03T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,291622,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1000000.0,978265.0,2026-07-06T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,2112,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2500000.0,978265.0,2026-07-06T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,292456,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1500000.0,978265.0,2026-07-06T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,292470,False
133530,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),1195000.0,978265.0,2026-07-27T00:00:00.000Z,2025-01-01T00:00:00.000Z,True,Maharashtra,Rajya Sabha,133530,299048,False
145622,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),2000000.0,840675.0,2025-08-29T00:00:00.000Z,2025-05-22T00:00:00.000Z,False,Maharashtra,Rajya Sabha,145622,229978,False
145622,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),1000000.0,840675.0,2026-07-03T00:00:00.000Z,2025-05-22T00:00:00.000Z,False,Maharashtra,Rajya Sabha,145622,291619,False
145622,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),150000.0,840675.0,2026-07-03T00:00:00.000Z,2025-05-22T00:00:00.000Z,False,Maharashtra,Rajya Sabha,145622,291622,False
145622,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),1000000.0,840675.0,2026-07-06T00:00:00.000Z,2025-05-22T00:00:00.000Z,False,Maharashtra,Rajya Sabha,145622,2112,False
145622,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),2500000.0,840675.0,2026-07-06T00:00:00.000Z,2025-05-22T00:00:00.000Z,False,Maharashtra,Rajya Sabha,145622,292456,False
145622,,Normal/Others,Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),1500000.0,840675.0,2026-07-06T00:00:00.000Z,2025-05-22T00:00:00.000Z,False,Maharashtra,Rajya Sabha,145622,292470,False
